input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,medium
"arguing | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | do not seem to come within the scope of the ""axis of evil",low
"sentiment | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | feel that its own national security is being threatened",medium high
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",medium high
"arguing | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights",medium high
"arguing | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction",low medium
"sentiment | PRESIDENT GEORGE Bush's National Security Adviser Condoleezza Rice has recently ""defined ""the context and scope of the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe Iraq, Iran and North Korea. | the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe",high
"arguing | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry",low medium
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words",medium
"arguing | Come to think of it, acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil. | may not be a correct basis for judging whether a nation is good or evil",low medium
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | have neither the knowledge nor the money to join the ""nuclear club",medium high
"sentiment | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | fear",medium high
"sentiment | The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction",high
"sentiment | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",medium high
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | are doing so not so much to escape being branded as ""evil",low medium
"arguing | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | the principle that all countries should be treated on an equal footing",medium
"agreement | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | do not agree to",medium
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | always holds that anti-terrorism campaigns should be based on irrefutable evidence",low medium
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | the use of such words as the ""axis of evil",high
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should not be expanded arbitrarily",medium
"arguing | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | pointing out that the consequences are bound to be serious if the logic of the wording is followed",medium
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should be based on irrefutable evidence",medium
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | disapproves of",medium
"sentiment | ""We disapprove of the use of such words in international relations, ""said Kong, who also made the same comment when answering related questions earlier. | disapprove of",medium
