input,output
There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,arguing
"In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | do not seem to come within the scope of the ""axis of evil",arguing
"Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | feel that its own national security is being threatened",sentiment
"As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",arguing sentiment
"By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights",arguing
"This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction",arguing
"PRESIDENT GEORGE Bush's National Security Adviser Condoleezza Rice has recently ""defined ""the context and scope of the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe Iraq, Iran and North Korea. | the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe",sentiment
"Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry",arguing
"As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words",arguing
"Come to think of it, acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil. | may not be a correct basis for judging whether a nation is good or evil",arguing
"All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | have neither the knowledge nor the money to join the ""nuclear club",arguing
"This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | fear",sentiment
"The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction",sentiment
