input,output
"expressive | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | branded as ""evil """,high
"expressive | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | ""nuclear club """,high
"expressive | The rule, as far as human rights are concerned, is that every nation which does not enjoy pluralistic democracy is violating human rights and is therefore oppressive. | as far as human rights are concerned",medium
"expressive | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | easily qualify as repressive and violating human rights",high
"expressive | The rule, as far as human rights are concerned, is that every nation which does not enjoy pluralistic democracy is violating human rights and is therefore oppressive. | oppressive",high
expressive | The mere development or possession of mass destruction weapons is not in itself a reason to label a state as evildoer. | not in itself,low
"expressive | The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | aggressively",high
expressive | The mere development or possession of mass destruction weapons is not in itself a reason to label a state as evildoer. | evildoer,high
"expressive | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | scores of",medium
"expressive | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | seemingly",medium
expressive | Perhaps the real criterion in this context is whether the nuclear country is democratic in every sense of the word. | Perhaps,low
"expressive | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | In other words",low
"expressive | The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | grave human rights violators",high
"expressive | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | irrespective",medium
"expressive | If this is the case, Rice could have elaborated more precise criteria for membership in the ""axis of evil, ""by establishing more clearly the connection between the nature of the regime and the acquisition of weapons of mass destruction. | membership in the ""axis of evil, """,medium
"expressive | PRESIDENT GEORGE Bush's National Security Adviser Condoleezza Rice has recently ""defined ""the context and scope of the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe Iraq, Iran and North Korea. | axis of evil",high
expressive | The mere development or possession of mass destruction weapons is not in itself a reason to label a state as evildoer. | mere,low
"expressive | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | authoritarian or repressive",high
"expressive | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | seems to be",medium
"expressive | On this count, the national security adviser may have erred. | On this count",low
"expressive | If this is the case, Rice could have elaborated more precise criteria for membership in the ""axis of evil, ""by establishing more clearly the connection between the nature of the regime and the acquisition of weapons of mass destruction. | more precise",medium
"expressive | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | ""axis of evil """,medium
"expressive | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | do not seem",low
"expressive | After all, the US is the first nation to have developed nuclear weapons. | After all",low
expressive | One can name more than a dozen countries which are contemplating the acquisition of mass destruction weapons at one speed or another. | One can name,medium
"expressive | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | only",low
