input,output
arguing | There are many countries in the world that hardly qualify as pluralistic democracies. | There are many countries in the world that hardly qualify as pluralistic democracies,positive
"arguing | In other words, countries which are seeking or developing such arsenal at a slow pace do not seem to come within the scope of the ""axis of evil "". | do not seem to come within the scope of the ""axis of evil",negative
"sentiment | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | feel that its own national security is being threatened",negative
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",positive
"arguing | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights. | By all conservative estimates, there are scores of other countries which can easily qualify as repressive and violating human rights",positive
"arguing | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction",positive
"sentiment | PRESIDENT GEORGE Bush's National Security Adviser Condoleezza Rice has recently ""defined ""the context and scope of the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe Iraq, Iran and North Korea. | the term ""axis of evil ""that Bush used in his State of the Union address a few weeks ago to describe",negative
"arguing | Washington seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry. | seems to be particularly disturbed and feel that its own national security is being threatened only when the nations which acquire mass destruction weapons are authoritarian or repressive, irrespective of the pace of amassing weaponry",positive
"arguing | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words",positive
"arguing | Come to think of it, acquiring weapons of mass destruction per se may not be a correct basis for judging whether a nation is good or evil. | may not be a correct basis for judging whether a nation is good or evil",negative
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | have neither the knowledge nor the money to join the ""nuclear club",negative
"sentiment | This is, in fact, the fear of all countries, as they feel that democratic regimes are more restrained and responsible when it comes to resorting to weapons of mass destruction. | fear",negative
"sentiment | The criteria set by Rice are the following: the three countries in question are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction. | are repressive and grave human rights violators, and aggressively seeking weapons of mass destruction",negative
"sentiment | As for her wording regarding acquisition of weapons, what is particularly noteworthy is the use of the words ""aggressively seeking ""nuclear, biological or chemical weapons. | aggressively seeking ""nuclear, biological or chemical weapons",negative
"arguing | All other countries which are seemingly refraining from acquiring such weapons are doing so not so much to escape being branded as ""evil ""but rather because they have neither the knowledge nor the money to join the ""nuclear club "". | are doing so not so much to escape being branded as ""evil",negative
"arguing | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | the principle that all countries should be treated on an equal footing",positive
"agreement | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | do not agree to",negative
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | always holds that anti-terrorism campaigns should be based on irrefutable evidence",positive
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | the use of such words as the ""axis of evil",negative
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should not be expanded arbitrarily",negative
"arguing | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | pointing out that the consequences are bound to be serious if the logic of the wording is followed",positive
"arguing | China always holds that anti-terrorism campaigns should be based on irrefutable evidence, and anti-terrorism attacks should not be expanded arbitrarily, said Kong. | should be based on irrefutable evidence",positive
"sentiment | Chinese Foreign Ministry spokesman Kong Quan said Friday that China disapproves of the use of such words as the ""axis of evil ""in international relations. | disapproves of",negative
"sentiment | ""We disapprove of the use of such words in international relations, ""said Kong, who also made the same comment when answering related questions earlier. | disapprove of",negative
"arguing | He stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing. | stressed that handling state-to-state relations should follow the purposes and principles of the United Nations Charter, the Five Principles of Peaceful Co-existence, and the principle that all countries should be treated on an equal footing",positive
arguing | This is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions. | is the only manner that is conducive to safeguarding long-term peace and stability in the world and related regions,positive
"sentiment | Kong made the remark when asked to comment on the different views given by the New York Times and the Washington Post recentlyon a statement by the U.S. leader describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations. | describing the Democratic People's Republic of Korea, Iran and Iraq as the ""axis of evil ""nations",negative
sentiment | China Disapproves Use of'Axis of Evil'in International Relations | Disapproves,negative
"arguing | China has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil, ""he said, pointing out that the consequences are bound to be serious if the logic of the wording is followed. | has noticed that U.S. public opinion and general public do not agree to the wording of ""axis of evil",negative
sentiment | China Disapproves Use of'Axis of Evil'in International Relations | Use of'Axis of Evil ',negative
"agreement | Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies. | agrees with",positive
"sentiment | It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | feel the same way about",negative
arguing | He has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world. | has declared that the war against terrorism will not end at Afghanistan but will spread to other parts of the world,positive
"sentiment | It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well. | wants",positive
arguing | Many believed that Bush was naive about foreign affairs. | believed that Bush was naive about foreign affairs,positive
"arguing | Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil ""it likely will readjust its stance. | tried to become more helpful to the United States during the war in Afghanistan",positive
